Sanskrit,English
vikaṭa, frowning
vikaṭa, obscure
vikaṭa, obsolete
vikaṭa, inverted
śakaṭī, cart
śakaṭī, carriage
daṇḍa, staff
daṇḍa, rod
daṇḍa, pole
daṇḍa, cudgel
daṇḍa, club
daṇḍa, violence
daṇḍa, control
daṇḍa, restraint
daṇḍa, army
daṇḍa, punishment
daṇḍa, reprimand
daṇḍa, pride
piṇḍa, globe
piṇḍa, knob
piṇḍa, button
piṇḍa, clod
piṇḍa, lump
piṇḍa, piece
piṇḍa, morsel
piṇḍa, mouthful
piṇḍa, food
piṇḍa, livelihood
piṇḍa, subsistence
piṇḍa, power
piṇḍa, force
piṇḍa, myrrh
piṇḍa, iron
vasanta,spring
samanta,contiguous
samanta, adjacent
samanta, universal
samanta, whole
samanta, entire
samanta, all
hemanta,winter
adhyakṣa, superintendent
adhyakṣa, chief
anakṣa,eyeless
samakṣa, present
samakṣa, visible
anuyāja, after offering
prayāja, fore offering
rājaka, prince
puruṣa, male
puruṣī,female
pauruṣeya, human
pauruṣeya, spiritual
pauruṣeya, aphrodisiac
apūruṣa,lifeless
apūruṣa, inanimate
māṃsa,flesh
māṃsa, meat
hṛdaya, soul
hṛdaya, science
hṛdayāvidh,heart piercing
hṛdayya, heart felt
bhūmi,earth
bhūmi, territory
bhūmi, country
bhūmi, position
bhūmi, attitude
bhūmi, step
bhūmi, degree
bhūmi, extent
bhūmi, matter
bhūmi, object
bhūmi, tongue
bhūmya, terrestrial
adas, yonder
amutas, there
amutas, hereupon
adhara,lower
adhara, inferior
adhara, low
adhara, vile
adhara, worsted
adhara, silenced
adhama,lowest
adhama, vilest
adhama, worst
itara, another
udañc, upper
udañc, upwards
udañc, northern
udañc, subsequent
tiryañc,horizontal
tiryañc, animal
bahu,much
bahu, many
bahu, abundant
bahudhā, variously
bahudhā, much
bahudhā, repeatedly
yatama, whosoever
sarvatas, everywhere
sarvatas, entirely
sarvatas, completely
sarvatas, thoroughly
uccais,aloft
uccais, high
uccais, above
uccais, upwards
uccais, loud
uccais, accentuated
uccais, intensely
uccais, much
uccais, powerfully
uccais, audibly
nīcais,low
nīcais, below
nīcais, down
nīcais, downwards
nīcais, underneath
parācais,away
parācais, aside
parācais, off
prācais,forwards
śanais,quietly
śanais, softly
śanais, gently
śanais, gradually
śanais, alternately
śanakais, softly
śanakais, gently
śanakais, alternately
paścāt, behind
paścāt, backwards
paścāt, westwards
paścāt, afterwards
paścāt, hereafter
paścāt, later
antarā, inside
antarā, within
antarā, among
antarā, between
antarā, near
antarā, nearly
antarā, almost
antarā, during
antarā, without
antarābhara, procuring
anyatra,elsewhere
anyatra, otherwise
anyatra, except
anyatra, without
evam,thus
evam, such
tatra, thither
tatra, therein
tatra, then
tatra, therefore
tathā, so
tathā, thus
tathā, yes
saha, with
aṅga, member
anastha,boneless
asthanvat, bony
ūru, shank
cakṣus, sight
cakṣus, aspect
cakṣuṣmat, seeing
majjan, scurf
mukha, face
mukha, countenance
mukha, quarter
mukha, front
mukha, head
mukha, top
mukha, principal
mukha, best
mukha, introduction
mukha, commencement
mukha, beginning
mukha, source
mukha, cause
mukha, copper
śarīra, one
śrotra, ear
śrotra, auricle
śrotra, ear
śrotra, auricle
udaka,water
apodaka, watertight
odana, porridge
kumbha, pitcher
kumbha, ewer
kumbha, bully
kṛṣi, agriculture
kṛṣi, harvest
kṛṣi, earth
kṛṣīvala, husbandman
kṣīra,milk
kṣīra, water
goṣṭha, cow house
goṣṭha, cow pen
goṣṭha, meeting place
grāma, village
grāma, hamlet
grāma, community
grāma, race
grāma, multitude
grāma, class
grāma, scale
grāma, gamut
grāma, inhabitants
grāma, people
grāmaṇi, squire
grāmaṇi, chief
grāmaṇi, superintendent
grāmaṇi, chief
grāmaṇī,leading
grāmya, rustic
caru, saucepan
caru, pot
caru, cloud
caru, pap
tṛṇa,grass
tṛṇa, herb
nārī, sacrifice
pāśa, trap
pāśa, noose
pāśa, tie
pāśa, bond
pāśa, cord
pāśa, chain
pāśa, fetter
puṃs, attendant
puṃs, spirit
pṛdāku, viper
pṛdāku, snake
sarpa, serpent
sarpa, serpent demon
skambha, support
skambha, pillar
skambha, buttress
skambha, fulcrum
strī, female
strī, wife
straiṇa,womankind
straiṇa,female
straiṇa, feminine
sphāti,fattening
sphāti, increase
sphāti, growth
sphāti, prosperity
sphāti, fatness
ad,eating
kravyād, carnivorous
yavasād, pasturing
āna,face
āna, mouth
āna, nose
āna, inhalation
āna, breathing
āna, blowing
prāṇa, breath
prāṇa, life
prāṇa, wind
prāṇa, energy
prāṇa, power
prāṇana,breathing
prāṇana, respiration
aśna,voracious
prāśavya,food
prāśavya, provisions
īkṣeṇya, curious
khanitṛ,digging
khanitṛ, delver
khanitra, spade
khanitra, shovel
ghāsi,food
ghāsi, fire
nṛti,gesticulation
nṛti, show
nṛti, dancing
hṛdayāvidh,heart piercing
śapatha, imprecation
śapatha, anathema
śapatha, vow
śapatha, scolding
śapatha, reviling
hiṃsra,injurious
hiṃsra, hurtful
hiṃsra, murderous
hiṃsra, fierce
hiṃsra, savage
añjana, embellishing
añjana, antimony
añjana, paint
añjana, ink
añjana, night
abhyañjana, ornament
abhyañjana, embellishment
āñjana, fat
vyañjana,decoration
vyañjana, ornament
vyañjana, manifestation
vyañjana, indication
vyañjana, allusion
vyañjana, suggestion
vyañjana, irony
vyañjana, sarcasm
vyañjana, specification
vyañjana, badge
vyañjana, spot
vyañjana, sign
vyañjana, token
vyañjana, insignia
vyañjana, paraphernalia
vyañjana, seasoning
vyañjana, sauce
vyañjana, condiment
vyañjana, member
vyañjana, part
araṇyānī,desert
āsura,spiritual
āsura, divine
āsura, infernal
āsura, demoniacal
kṛtyā,action
kṛtyā, act
kṛtyā, deed
kṛtyā, performance
kṛtyā, achievement
kṛtyā, magic
kṛtyā, enchantment
kṛtyā, witchcraft
jaras, decay
jarā, digestion
jarā, decrepitude
jarāyu, afterbirth
jarāyu, placenta
nirṛti,dissolution
nirṛti, destruction
nirṛti, calamity
nirṛti, evil
bheṣaja, medicine
bheṣaja, medicament
bheṣaja, drug
bheṣaja, water
mṛtyu,death
mṛtyu, dying
amṛtyu, immortality
amṛtyu,immortal
yakṣma,sickness
yakṣma, consumption
yama, curb
yama, bridle
yama, charioteer
yama, suppression
yama, restraint
hṛdroga,grief
viṣa,poison
viṣa, bane
viṣa, water
viṣa, gum myrrh
viṣavat,poisonous
viṣavat, poisoned
asat,untrue
asat, wrong
asat, bad
asat, heretical
asu,breath
asu, life
gatāsu, expired
gatāsu, dead
ātman, self
ātman, essence
ātman, nature
ātman, character
ātman, Brahma
ātman, effort
ātman, firmness
ātman, fire
āśā,space
āśā, region
gārhapatya, household
citta,attending
citta, observing
citta, thinking
citta, reflecting
citta, imagining
citta, thought
citta, intention
citta, aim
citta, wish
citta, mind
citta, memory
citta, intelligence
citta, reason
chandas,desire
chandas, will
chandas, intention
chandas, purport
chandas, incantation hymn
jñāna,knowing
jñāna, knowledge
jñāna, conscience
saṃjñāna,unanimity
saṃjñāna, consciousness
saṃjñāna, perception
saṃjñāna, concord
tapas,warmth
tapas, heat
tapas, pain
tapas, suffering
tapas, penance
tapas, fervor
tapasvat,burning
tapasvat, hot
tapasvat, distressed
tapasvat, wretched
tapasvat, poor
tapasvat, miserable
tejas, glow
tejas, glare
tejas, brilliance
tejas, light
tejas, fire
tejas, beauty
tejas, spirit
tejas, efficacy
tejas, essence
tejas, marrow
tejas, gold
tejas, fierceness
tejas, majesty
tejas, dignity
tejas, glory
tejas, authority
diś, direction
diś, quarter
diś, region
diś, direction
diś, place
diś, part
diś, country
diś, abroad
diś, space
diś, reference
diś, instance
diś, example
diś, precept
diś, order
diś, manner
pradiś, indication
pradiś, direction
pradiś, order
pradiś, command
pradiś, dominion
pradiś, quarter
devatā,godhead
devatā, idol
dhātṛ, founder
dhātṛ, creator
dhātṛ, bearer
dhātṛ, supporter
dhātṛ, arranger
dhātṛ, paramour
dhātṛ, adulterer
vidhātṛ, disposer
vidhātṛ, arranger
vidhātṛ, maker
vidhātṛ, author
vidhātṛ, creator
vidhātṛ, giver
pāpa,bad
pāpa, wicked
pāpa, evil
pāpa, vile
pāpa, low
pāpa, inauspicious
pāpa, miserable
bhāvya,future
bhāgadheya, portion
bhāgadheya, property
bhāgadheya, lot
bhāgadheya, fate
bhāgadheya, destiny
bhāgadheya, prosperity
bhāgadheya, tax
bhāgadheya, impost
yajus, veneration
yajus, worship
yajus, sacrifice
varcas, energy
varcas, activity
varcas, brilliance
varcas, light
varcas, glory
varcas, form
varcas, figure
varcas, shape
varcas, excrement
varcas, ordure
varcas, feces
virāj,excellence
virāj, dignity
virāj, majesty
viśvakarman,all creator
śraddhā,faith
śraddhā, confidence
śraddhā, trustfulness
śraddhā, faithfulness
śraddhā, trust
śraddhā, loyalty
śraddhā, wish
śraddhā, appetite
śraddhā, curiosity
śraddhā, purity
śraddhā, respect
śraddhā, reverence
śraddhā, intimacy
sabhā, congregation
sabhā, meeting
sabhā, council
sabhā, society
sabhā, palace
sabhā, council chamber
sabhā, gambling house
sabhāsāha, superior
sabhāsāha, eminent
sabheya, civilized
sabheya, clever
sabheya, well behaved
sabheya, decent
svarga,heaven
svarga, Indra
ādhipatya,supremacy
ādhipatya, sovereignty
ādhipatya, power
anumati,assent
anumati, permission
anumati, approbation
ayana,walking
ayana, way
ayana, progress
ayana, manner
ayana, motion
āyana,coming
āyana, approaching
āyana, course
udayana,rise
udayana, outlet
udayana, exit
udayana, outcome
udayana, result
udayana, conclusion
udayana, end
upāyana, approach
upāyana, initiation
upāyana, undertaking
upāyana, present
upāyana, gift
nyayana,entry
nyayana, receptacle
nyayana, down course
nyayana, influx
parāyaṇa, essence
parāyaṇa, summary
parāyaṇa, panacea
vyayana, separation
prāyaṇa,entrance
prāyaṇa, beginning
prāyaṇa, commencement
prāyaṇa, death
araṇya, desert
araṇya, forest
āraṇya, forest born
āraṇya, wild
ākūti,intention
ākūti, wish
ākūti, design
kaśyapa, tortoise
tarhaṇa,crushing
tīkṣṇa,sharp
tīkṣṇa, hot
tīkṣṇa, fiery
tīkṣṇa, acid
tīkṣṇa, rough
tīkṣṇa, rude
tīkṣṇa, keen
tīkṣṇa, vehement
tīkṣṇa, inauspicious
anātha, widowed
anātha, fatherless
anātha, helpless
anātha, poor
payasvat, juicy
payasvat, succulent
payasvat, overflowing
payasvat, exuberant
payasvat, copious
payasvat, powerful
payasvat, strong
paridhi, fence
paridhi, wall
paridhi, protection
paridhi, garment
puṇya,auspicious
puṇya, propitious
puṇya, fair
puṇya, pleasant
puṇya, good
puṇya, right
puṇya, virtuous
puṇya, meritorious
puṇya, pure
puṇya, holy
puṇya, sacred
pratiṣṭhā, resting
pratiṣṭhā, remaining
pratiṣṭhā, steadfastness
pratiṣṭhā, stability
pratiṣṭhā, resting place
pratiṣṭhā, ground
pratiṣṭhā, base
pratiṣṭhā, foundation
pratiṣṭhā, prop
pratiṣṭhā, stay
pratiṣṭhā, support
pratiṣṭhā, homestead
pratiṣṭhā, dwelling
pratiṣṭhā, house
pratiṣṭhā, limit
pratiṣṭhā, boundary
pratiṣṭhā, quiet
pratiṣṭhā, comfort
pratiṣṭhā, ease
pratiṣṭhā, superiority
pratiṣṭhā, fame
pratiṣṭhā, celebrity
bhūti,existence
bhūti, being
bhūti, thriving
bhūti, prosperity
bhūti, might
bhūti, power
bhūti, wealth
bhūti, fortune
bhūti, ornament
bhūti, decoration
bhūti, ashes
bhūti, earth
bhūti, ground
maṇi, gem
maṇi, pearl
maṇi, globule
maṇi, crystal
maṇi, clitoris
rājanya,kingly
rājanya, princely
rājanya, royal
rātri,night
rātri, turmeric
rāṣṭra, realm
rāṣṭra, empire
rāṣṭra, dominion
rāṣṭra, district
rāṣṭra, country
rāṣṭra, nation
rāṣṭra, subjects
rāṣṭra, affliction
saṃvatsarīṇa,yearly
saṃvatsarīṇa, annual
varman, shelter
varman, bark
varman, rind
varṣa,rain
varṣa, raining
varṣa, cloud
varṣa, India
varṣya, rainy
vaśin, lord
vaśin, compliant
vaśin, obedient
vāsas,cloth
vāsas, clothes
vāsas, dress
vāsas, cotton
vīrudh, shoot
śvaśura, husband
ṣaṣ,six
sajāta, related
sajāta, countrymen
sapatna, adversary
sapatna, enemy
samiti, meeting
samiti, assembling
samiti, council
samiti, herd
samiti, association
samiti, plot
samiti, encounter
samiti, war
samiti, battle
samiti, sameness
samiti, likeness
saṃsṛj,commingling
saṃsṛj, collision
senā, dart
senā, spear
stanayitnu, lightning
stanayitnu, sickness
stanayitnu, death
syona,soft
syona, pleasant
syona, mild
syona, tender
syona, comfortable
svapna,sleep
svapna, sleeping
svapna, sleepiness
svapna, drowsiness
svapna, sloth
svapna, indolence
svapna, dreaming
haras, grip
haras, drink
haras, beverage
haras, flame
haras, fire
haras, seizure
haras, rage
heti,stroke
heti, wound
heti, weapon
